number,street,unit,city,region,postcode,district,latitude,longitude
6999,HUNTLEY RD,APT F,Worthington,OH,43229,FRA,40.1057829,-82.9995303
6171,HUNTLEY RD,UNIT M,Worthington,OH,43229,FRA,40.0911478,-83.0005818
6999,HUNTLEY RD,APT L,Worthington,OH,43229,FRA,40.105823,-83.0003924
6171,HUNTLEY RD,UNIT E,Worthington,OH,43229,FRA,40.0904869,-83.0010064
6171,HUNTLEY RD,UNIT N,Worthington,OH,43229,FRA,40.0911108,-83.0003776
6663,HUNTLEY RD,UNIT I,Worthington,OH,43229,FRA,40.1027654,-83.0000116
6575,HUNTLEY RD,UNIT 500,Worthington,OH,43229,FRA,40.0998781,-82.9986169
6999,HUNTLEY RD,APT G,Worthington,OH,43229,FRA,40.1057931,-82.9997628
6575,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.0997399,-82.9998005
7029,HUNTLEY RD,APT K,Worthington,OH,43229,FRA,40.1061341,-83.0002458
7079,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1071915,-82.9981074
550,SCHROCK RD,,Worthington,OH,43229,FRA,40.1021578,-82.9990355
7059,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1069376,-82.9983585
6185,HUNTLEY RD,UNIT F,Worthington,OH,43229,FRA,40.0914181,-83.0007652
6185,HUNTLEY RD,UNIT K,Worthington,OH,43229,FRA,40.0913632,-82.9995435
7099,HUNTLEY RD,UNIT 110,Worthington,OH,43229,FRA,40.1081844,-82.9981793
6663,HUNTLEY RD,UNIT G,Worthington,OH,43229,FRA,40.10279,-82.9998357
545,SCHROCK RD,,Worthington,OH,43229,FRA,40.1010024,-82.9993465
6171,HUNTLEY RD,UNIT K,Worthington,OH,43229,FRA,40.0911598,-83.0010601
7029,HUNTLEY RD,APT A,Worthington,OH,43229,FRA,40.1063507,-82.9987779
6575,HUNTLEY RD,UNIT B,Worthington,OH,43229,FRA,40.0994828,-82.9981378
7030,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.1063342,-82.9965537
6663,HUNTLEY RD,UNIT S,Worthington,OH,43229,FRA,40.1030088,-83.0005512
6155,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.090431,-82.9995676
7099,HUNTLEY RD,UNIT 108,Worthington,OH,43229,FRA,40.1077419,-82.998185
6665,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.1031288,-82.998966
7029,HUNTLEY RD,APT I,Worthington,OH,43229,FRA,40.1061197,-82.9999272
6663,HUNTLEY RD,UNIT K,Worthington,OH,43229,FRA,40.1027334,-83.0001878
7029,HUNTLEY RD,APT G,Worthington,OH,43229,FRA,40.106106,-82.999675
6663,HUNTLEY RD,UNIT L,Worthington,OH,43229,FRA,40.1025467,-83.0005085
6112,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0891676,-82.9973158
6199,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0929907,-82.9998343
5334,MAPLE CANYON AVE,,Columbus,OH,43229,FRA,40.0772523,-82.9641693
5998,SLIPPERY ROCK DR,,Columbus,OH,43229,FRA,40.0909902,-82.9572595
4958,ALMONT DR,,Columbus,OH,43229,FRA,40.0673885,-82.9860802
876,MINERVA AVE,,Columbus,OH,43229,FRA,40.0734984,-82.9954383
5710,ROCHE DR,UNIT F,Columbus,OH,43229,FRA,40.0831113,-82.9901206
4825,HUMMINGBIRD CT N,A,Columbus,OH,43229,FRA,40.0661993,-82.9713272
2311,CANYON TREE DR,,Columbus,OH,43229,FRA,40.0900224,-82.9581816
887,E DUBLIN-GRANVILLE RD,E2,Columbus,OH,43229,FRA,40.0867706,-82.9948813
1752,ARBOR HILL DR,,Columbus,OH,43229,FRA,40.0950444,-82.9707365
5000,KINGS HIGHLAND DR W,APT B211,Columbus,OH,43229,FRA,40.0675067,-82.9921936
4826,NORTHTOWNE BLVD,,Columbus,OH,43229,FRA,40.0674389,-82.9579745
1786,FOREST OAK LN,,Columbus,OH,43229,FRA,40.0846651,-82.9694116
1828,MEANDER DR,,Columbus,OH,43229,FRA,40.0984207,-82.9673028
5395,VINEWOOD CT,,Columbus,OH,43229,FRA,40.0761379,-82.9871956
